0,1,2,3,4,5,6,7,8,9
4,1677,1215,2255,2364,1189,1040,-54,741,1447
2253,2998,142,2692,853,2308,656,2424,718,1793
90,1503,934,2129,1640,912,2190,2526,2123,919
2551,1339,759,658,996,2069,2391,621,1710,1189
1010,1234,219,2583,2769,2530,3190,2372,2068,1366
2351,2701,1564,435,771,1166,1167,2571,2594,1598
1640,714,-99,1092,1800,2735,978,1720,1538,2749
1302,1907,386,328,748,2047,3044,2663,2408,1947
1419,2461,501,2875,2133,1089,243,1571,971,446
2544,240,1041,1216,2677,1933,1055,1039,999,2888
1438,3009,1527,2500,1649,1920,2939,1682,619,1274
1717,1966,2714,2543,2313,833,1242,801,2271,556
1540,2235,1815,1799,1128,3299,1588,117,1984,2422
1376,2865,2997,967,1923,539,1036,197,2228,923
2017,2850,1004,1987,1351,46,956,1571,2039,1919
1627,2368,2828,2929,2926,3219,1044,734,756,1899
2144,1082,158,2771,2730,582,521,916,2734,2348
811,1247,2747,2422,226,2265,2014,2311,2397,450
2020,707,2280,702,1066,2930,1691,952,1112,1663
1200,426,1517,938,1197,2546,795,2198,1786,1797
2823,2220,758,1167,2637,607,2717,700,616,1008
2244,506,2732,2082,1228,2320,1848,2166,1143,2379
1158,309,1075,1384,1004,332,1743,1438,1485,922
1844,493,0,1422,1895,2953,1975,1811,1818,505
1846,2415,556,2185,1475,2351,1250,1127,2514,803
398,2866,937,402,2851,214,1698,1425,1378,805
2571,532,618,1731,2058,2081,745,1558,1038,767
2845,231,1189,1478,1117,827,1716,2916,1041,2360
2045,822,2150,2587,1069,1334,2426,378,629,2484
1163,616,607,1357,2520,-3,2681,1613,1615,128
1931,225,253,-305,1907,1023,158,2834,1510,883
1539,442,2713,1294,2172,1819,-79,2035,2737,2227
208,1158,1710,147,672,2646,915,2388,713,2050
451,2541,1483,2384,1987,2065,2739,498,1917,1757
1873,2688,290,830,564,2427,2655,1568,743,-52
1834,1870,1542,1393,2115,550,851,-59,64,1694
1213,3024,2619,3149,588,2220,1942,1368,2774,2344
857,1592,1693,70,2971,56,2241,1390,164,1418
394,2463,658,560,2597,341,1535,642,2834,2947
2812,1310,2556,702,1563,1698,2052,2209,4833,477
1756,842,921,1296,2486,106,2603,474,2248,946
1859,2310,1493,1985,1174,2390,1132,2822,2710,1551
1339,2781,944,2504,2471,2494,2680,2634,2745,1189
836,2334,1242,-141,1194,2452,2800,742,948,277
2188,2164,1651,721,-105,1020,657,700,2538,151
975,1135,1561,1606,3062,2570,1326,1789,2748,1186
1928,761,1742,76,1844,-5,1688,440,2464,2412
415,365,528,463,1097,2366,2079,1607,615,571
467,2803,846,566,766,833,2172,2848,1153,2025
1727,1315,59,2112,796,943,2175,2516,1751,1210
903,2236,2748,1219,2431,278,984,1965,2625,2902
66,1808,2232,225,2626,1609,1920,1642,1961,527
1727,2493,408,908,3104,1729,168,80,1523,138
1530,190,2810,1467,151,1585,1764,834,1721,1561
351,2771,1294,2320,926,1158,148,-342,195,1388
2339,2625,1512,2559,1243,2267,1903,1812,3478,847
3021,2015,1215,39,2409,1842,2197,142,1140,2593
2801,1217,110,2587,269,989,1752,337,1951,871
2625,2189,982,2792,1895,1478,1918,995,2146,1527
2276,2728,3051,3043,2556,430,1783,2296,2856,908
707,1742,-50,2723,1757,2604,657,207,1170,876
863,1211,936,513,2329,403,778,2293,1481,142
1045,2455,2462,2729,1191,1226,2562,1644,318,110
1382,1318,308,1838,91,2248,1620,-145,2543,3019
745,1485,2277,1645,1841,299,2963,1963,1660,2304
1277,2283,1249,496,928,656,1055,2102,2922,2515
1383,2168,713,102,405,1927,828,1273,721,2152
526,-173,310,973,2964,1450,3628,2832,70,2904
1222,1036,2492,2820,2351,937,2465,2174,1326,1118
2566,1407,619,-22,1716,2170,1095,414,1767,2461
548,1568,1094,825,1761,2056,220,2766,-80,2163
2517,1732,715,2702,2846,2665,305,2427,1988,683
1820,1714,2265,820,2791,1119,1641,707,639,1668
1723,852,1946,324,1937,1782,3114,2848,877,1704
1153,2317,1472,2628,1001,713,1961,2300,3133,884
666,110,1449,1722,2399,3076,2501,104,2445,902
1467,1820,2182,2555,2329,2423,2500,-86,1393,294
1580,813,3008,2376,1008,1073,2241,2401,2587,1347
606,2381,960,1161,2312,2485,1777,1619,2176,1419
650,2167,2876,2396,1422,1899,1897,1158,1747,724
285,1842,1705,1143,2967,980,1659,306,1956,2497
869,1417,298,1965,2370,2043,787,2340,2596,1864
2055,517,-56,122,2047,1638,625,2197,1529,432
4,1473,2489,1161,2602,1810,1879,2083,1110,1465
632,-379,-202,500,2146,1380,1732,900,2566,2658
558,2392,795,700,657,-158,140,1461,2317,1574
1306,2076,648,2414,1628,2114,232,1639,2737,2045
2466,2026,2044,2572,214,-4,1185,2831,1206,2721
2155,3136,2999,1416,172,1248,72,1793,1141,190
2349,-448,1261,256,1914,2371,2656,103,1577,1730
2621,1967,2566,2323,2050,2423,179,2353,2629,2216
3062,1271,844,1719,2541,1283,718,3017,653,1517
1940,601,2683,602,2433,1698,794,360,2865,1711
1495,1065,1487,1346,-114,1416,2412,2033,251,1448
1442,749,592,1359,928,497,2103,2827,169,639
799,18,701,758,360,2545,2760,1504,2032,2457
1929,2742,1047,1381,958,1247,2395,2797,765,2539
517,867,707,1334,112,1481,2154,2656,3861,2242
928,2144,1933,123,2489,3242,577,240,411,2110
71,2253,1033,176,1054,-11,1097,2538,472,1437
929,323,2438,2903,1344,2531,2100,2012,1985,514
-89,1819,2960,2226,67,2031,540,2610,613,283
813,999,2022,1447,1047,225,2229,2068,780,2826
1030,561,1990,751,829,1200,2233,660,1267,1351
365,2037,14,2614,3002,2218,2524,1094,1777,2590
1078,-116,412,1373,1920,1140,975,1665,654,774
1751,1490,2458,2614,2500,3029,1279,659,1212,1544
549,1095,1185,2694,1382,475,135,1176,1916,168
1443,1165,1485,1537,1387,869,1363,969,2922,1582
502,1445,104,614,1140,1686,3053,1190,2375,827
2446,3053,374,170,2842,1226,2224,622,1652,484
2085,68,693,1378,1100,2906,1996,1740,2905,192
1126,830,-172,2537,2927,2832,3570,528,150,1988
2010,609,1584,1236,940,212,1858,40,2540,1506
929,200,813,2442,1029,2596,2190,2162,174,1611
416,1513,1014,-56,2205,1150,1922,1809,2459,2349
951,2223,2470,62,642,325,2931,2226,1624,767
1253,1989,2583,1140,2252,1919,1128,-25,1762,163
117,458,1857,469,353,1050,583,2493,2761,926
175,135,-180,2691,-61,744,-133,182,2142,1220
2864,929,3082,1442,553,3106,2896,2972,723,2059
-249,2272,2005,3414,541,-61,797,952,1095,1156
2140,-3,2587,2559,1585,616,-118,971,224,2790
1889,1359,1708,101,485,2559,405,2894,2080,2146
2509,2597,396,2586,236,388,557,1378,1513,1881
1519,2475,2252,2616,2592,385,1745,2739,100,998
1602,2031,1363,720,1125,1423,1834,-5,1981,2149
25,763,2377,2893,2174,743,2916,693,817,1236
945,1850,391,718,2542,1248,2544,2539,410,1388
1373,776,-25,2243,929,166,306,1588,804,1827
-612,1226,2442,2488,452,182,2509,1629,1363,186
-349,2085,427,93,1095,751,-111,809,13,1091
875,1604,-21,2288,709,421,2706,949,2249,275
904,1978,1020,2548,1291,2008,992,1573,1567,-58
933,3013,2428,933,2123,383,2055,2342,2407,1914
2997,2373,2012,1270,581,1050,683,2072,1171,621
1624,2396,1671,2191,2621,2266,3180,1036,491,2231
419,2905,2276,2668,1219,636,-5,1542,1144,1072
1221,722,901,1444,10,2613,1083,428,1516,624
3096,1937,2462,1343,880,872,1623,1736,2422,485
2790,341,2349,961,2524,803,-347,57,1322,2418
2373,1796,668,2291,2522,2392,599,418,2058,51
976,1039,1786,2683,2315,2059,2318,1673,122,1835
1617,819,1998,1357,1558,431,1093,1386,87,1074
972,721,159,1834,2839,2907,1549,205,827,2362
1638,2749,1336,2044,608,1876,2205,1106,169,2318
1578,1591,1181,2304,1474,2113,2923,1459,624,1365
429,221,2754,1952,2562,3011,1316,1686,546,206
2986,2582,93,2511,2090,950,2575,1905,895,875
1740,1787,1703,2367,1173,892,1106,2905,-226,2845
207,1591,1762,2210,1816,1863,1118,2557,-523,1070
176,2595,1628,2961,106,1384,1544,2641,3060,681
178,1823,509,755,2625,267,1747,2944,1988,485
866,1349,2350,437,1567,1537,597,1443,1161,2860
1930,1961,219,2116,1340,2793,1978,2822,2562,2737
707,2674,78,1134,1152,943,388,1502,-59,1000
629,1166,382,2694,2483,115,1438,443,2262,427
1730,414,2180,1691,1402,-67,699,2177,1908,2801
1433,2622,2221,1828,2458,795,1242,281,1873,3091
2577,1676,1488,2587,1657,2497,645,1825,1378,1759
1110,1236,668,2064,929,527,306,2987,3032,1998
1262,1772,1130,1394,1595,1623,12,2436,936,882
2187,2523,2385,2272,357,2990,275,285,3140,963
1451,983,710,2811,1219,931,228,3069,-275,842
2272,2441,181,790,2224,2761,1136,2955,1322,2510
647,1337,1283,1473,1003,2384,3007,615,1774,2516
2160,2548,1634,2708,1756,2266,981,186,553,1509
550,355,2564,2029,601,2358,2306,2001,2021,-71
2539,1323,609,2830,2674,2487,1113,1392,647,524
460,478,1464,3002,156,1543,1860,1316,425,2372
369,650,627,1606,3992,404,3221,105,1407,1765
716,2021,1304,1491,2157,494,292,1448,905,2665
638,977,1483,817,2548,2294,2875,2221,2943,2425
798,973,590,1261,942,1157,2699,2429,2230,2455
256,1255,925,220,2194,1363,746,404,684,270
1776,2497,1041,2956,1954,315,1684,840,-54,2240
1227,1717,1876,2754,275,824,-834,1404,910,952
190,1421,1377,564,2749,743,2254,1885,-490,2122
2427,1363,796,812,101,2528,1812,362,388,1799
2983,340,1154,1741,2449,21,2857,1480,1542,1569
1644,127,2496,-95,2645,996,1570,1216,102,1682
47,223,1536,2415,2194,2156,2289,3313,2689,726
1367,1956,1788,1084,1025,2873,595,333,1650,1747
1192,2255,870,283,2105,807,2435,1823,279,955
1088,780,964,452,2484,831,2720,3041,1437,689
703,2313,1606,1027,715,2064,1919,2230,3005,-382
2611,1614,1239,2574,1873,771,103,1842,1310,2578
1572,1428,1352,497,2915,425,2775,1879,1553,-365
967,2282,2313,1691,462,2985,1188,1731,2000,2529
2728,289,1559,2864,1911,1791,645,839,2846,2423
394,476,1225,164,1718,1686,2590,416,896,201
956,2427,775,411,-58,36,782,1731,1657,-172
1877,1377,701,531,2030,247,1947,43,510,2317
1336,1987,1888,2566,2428,1607,-75,1954,1581,2829
1864,1306,43,828,1478,3141,120,1556,2564,2362
813,2114,2951,1207,1166,1972,219,2275,1655,1640
1692,3050,1610,1432,565,2179,1786,313,2736,2149
900,1441,2237,1617,602,389,423,2319,350,1252
784,2856,771,2482,2900,722,1265,2042,666,652
1258,2940,1081,1910,981,1474,1697,1176,1449,177
51,1380,2177,2839,964,2675,2748,1868,2454,156
1055,2521,-51,1178,1225,2749,16,2981,2953,392
575,520,2542,1396,1402,1224,263,704,567,442
1048,2855,1390,544,2383,3254,1196,1404,2070,2238
363,761,-113,1077,1460,2765,1105,1991,959,608
2737,2253,2099,244,2898,846,332,1117,1271,2600
2422,377,1070,2588,1810,886,2308,2556,1676,712
2596,2593,2701,2302,2985,152,2307,260,733,355
336,129,2424,3039,2602,1281,2130,1318,1310,2034
344,1294,2387,653,2579,3207,241,2179,-7,1159
2363,2538,1381,2964,2392,707,1375,1545,2627,3099
119,2380,-14,1453,1390,2193,1043,301,773,1879
943,916,302,1742,841,2196,2458,1759,2393,2465
1494,1292,1672,726,2153,1927,249,2466,1832,135
2252,1424,2139,1962,1262,757,1671,1556,529,2365
2413,1358,1526,1887,57,1948,727,910,1194,405
674,2807,3102,1279,689,2526,1575,2396,1091,314
2004,1940,1564,2267,860,2387,2333,2133,1079,268
2143,732,1626,2639,1543,1452,2011,353,3037,1365
1969,1970,359,2395,2694,2896,2867,2013,2474,1702
1724,811,1231,2843,1937,2102,2092,812,2025,1979
270,2611,1525,2388,-50,1302,2683,322,-116,874
2844,661,1127,416,2484,1360,1041,319,1330,1946
2105,760,2811,7,876,1289,1145,2468,947,3004
994,1069,2067,284,2737,774,1718,312,779,3394
1520,1252,1057,475,970,1533,449,2260,1292,617
1573,2341,2793,2249,1117,1518,-21,1938,518,2421
2087,1715,699,1753,2160,1544,937,1811,1129,1775
201,409,2098,1471,215,884,-319,2574,738,1159
766,1005,3115,1743,893,533,1906,2360,2061,1281
699,2552,664,1817,860,720,1006,1065,1506,1432
394,1011,2866,1739,715,467,661,2113,648,2494
1036,1707,1215,2583,292,724,951,949,1285,1689
67,2794,2658,2659,-109,229,1064,613,484,3228
2719,2798,1829,13,2490,961,-193,2047,2266,169
865,1981,1087,636,117,1534,2114,1933,889,707
5,1122,2361,2506,1234,733,111,2466,882,2951
443,1073,1576,644,496,375,2860,2549,958,2722
2026,1662,801,1651,967,971,124,603,135,1284
2938,2138,665,1361,171,1630,2689,1294,765,1317
2355,1857,1424,375,3414,153,281,310,2800,759
1371,2125,663,1649,1026,2229,2700,1258,787,1253
92,1932,1201,2881,2070,483,890,1436,753,1420
495,-281,2122,8,2085,3039,331,2315,253,1336
2800,1293,2336,1724,2414,1515,579,762,1827,391
1814,2439,724,708,1235,255,2708,1044,3551,802
2033,507,-66,203,1742,906,2872,2692,1288,2989
1912,2940,2628,430,-80,299,262,2287,971,-50
384,1041,837,2680,2976,615,2794,447,2301,1756
482,2430,2085,-78,892,301,1454,-66,2597,2532
-287,2244,41,3235,229,1039,1438,2515,439,118
1696,499,3261,2907,305,1509,185,1829,1900,506
1007,278,1198,441,2833,2217,2162,2266,1261,648
2738,357,1957,2422,600,2706,997,800,1914,2264
314,986,2092,670,1642,2498,214,2274,2290,2669
1611,2334,717,714,1970,586,3005,552,3364,952
2699,1484,125,2143,2537,2360,891,371,2113,1292
2695,2242,2690,3041,63,1517,580,1003,857,775
1001,2405,2611,2012,2380,2114,2405,2339,848,2033
919,821,2685,1328,1851,451,377,2930,1869,2593
825,1762,250,828,1610,2069,2589,3305,1080,2086
1723,996,2898,737,285,2908,1926,2410,774,1815
1040,1016,764,516,448,2724,1467,896,2404,945
1492,2965,623,339,157,1508,2844,966,-75,209
613,3191,517,486,512,2097,132,2469,2514,1391
900,1891,900,1800,2765,2740,730,386,1129,959
-154,1800,1173,2482,485,92,2988,1500,2869,842
3405,1427,2522,2407,1510,767,617,1810,29,287
277,2304,204,225,102,1003,754,2706,408,992
1526,1003,214,2820,796,1804,1546,1419,2840,1731
2216,269,2837,1129,516,2242,1947,1718,581,-105
1150,908,149,1118,2331,55,2924,1855,446,2223
733,2647,1646,2613,1690,178,1847,1970,110,2557
2648,1800,2707,2421,442,2086,2952,2092,867,2313
578,494,875,3017,120,573,1632,-1265,1623,2448
2965,536,1320,2582,1508,110,153,2205,813,2547
1584,2445,1802,1355,2309,2311,1045,998,2615,2228
1751,182,1940,2545,202,2388,1177,2623,1403,-225
2897,2166,2947,414,780,679,851,1375,632,1496
1062,2816,-521,619,1130,833,1091,107,1016,3205
680,2166,394,1081,1723,1056,2562,742,38,2834
758,1900,481,1858,543,2970,1033,1945,806,2778
923,2777,872,507,699,1582,-371,2514,930,1702
508,2797,530,2561,1252,2340,2239,1814,1775,2255
2108,2338,2054,2307,2660,479,2014,-20,2190,2555
2374,2658,1829,141,2853,349,1579,2888,1642,1504
1450,1011,1041,3003,721,680,333,2047,2872,2653
3011,2341,3863,1108,2968,1691,634,1065,1218,1343
579,1231,2857,1743,849,2051,1949,2675,2224,580
1169,1486,2755,452,829,317,3164,2459,1973,735
667,634,2479,1355,3221,1168,2836,308,2294,2089
1463,1762,992,2674,1634,1866,2672,1805,2253,1138
1952,861,2107,2228,1490,261,2083,2180,2427,814
798,1109,2099,1899,1542,1923,2337,1986,2863,2915
1532,1511,792,2306,1806,1797,479,2459,2425,150
2258,367,1383,1601,2890,429,374,2603,2312,2808
806,1296,2112,1464,2763,490,2572,564,1497,1694
1023,908,1037,823,113,2715,2895,194,245,1184
1981,1597,617,400,2888,2235,1981,1832,1887,2741
2217,1300,969,361,2029,654,1448,1660,1411,1980
432,3276,1737,1676,3028,2197,2234,2594,1790,634
2321,21,1419,2239,295,2655,771,476,901,2400
269,601,213,2150,208,2164,1647,710,840,244
365,2885,548,1616,1963,1151,1231,354,1958,683
525,60,2697,1672,880,2102,136,2930,1807,1703
986,1565,948,2507,1028,-20,1525,1580,539,2822
1143,2737,1095,1539,2066,2609,408,1788,2518,1490
2544,2357,75,2157,-4,826,676,1784,1482,1794
1891,1405,560,253,330,741,669,648,1275,2605
