Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
50,0,20,47,20,45,20,46,20,46,19,50,5,95,18,46,19,54,17,49,5,740,93,6,40,4,38,38
40,0,20,46,20,45,20,46,20,46,18,50,5,95,18,46,19,54,17,49,5,740,92,6,40,4,4,4
40,0,20,46,20,45,20,46,20,46,18,50,5,95,18,46,19,54,17,49,5,740,92,6,40,4,44,44
40,0,20,47,20,45,20,46,20,46,18,50,5,94,18,46,19,54,17,49,5,740,92,5,40,4,17,17
60,0,20,46,20,45,20,46,20,46,18,50,5,94,18,46,19,54,17,49,5,740,91,5,40,4,42,42
50,0,20,46,20,45,20,46,20,47,18,50,5,94,18,46,19,54,17,49,5,740,91,5,40,4,17,17
50,0,20,46,19,45,20,46,20,47,18,50,5,94,18,46,19,54,17,49,5,740,92,5,40,4,17,17
40,0,20,46,19,45,20,46,20,47,18,50,5,94,18,46,19,54,17,49,5,740,92,5,40,4,24,24
40,0,20,46,19,45,20,46,20,47,18,50,5,94,18,46,19,54,17,49,5,740,93,4,40,4,45,45
40,0,20,46,19,45,20,46,20,47,18,50,5,95,18,46,19,54,17,50,5,740,94,4,40,4,43,43
40,0,20,46,19,45,20,46,20,47,18,50,5,95,18,46,19,54,17,50,5,740,94,4,40,4,19,19
50,0,20,46,19,45,20,46,20,47,18,50,5,96,18,46,19,54,17,50,5,740,95,4,40,4,39,39
70,10,20,46,19,45,20,46,20,47,18,50,5,96,18,46,19,54,17,50,5,740,95,4,38,4,48,48
40,0,20,46,19,45,20,46,19,47,18,50,5,96,18,46,19,54,17,50,5,741,94,4,36,4,22,22
30,0,20,47,19,45,20,46,19,47,18,50,5,96,18,46,19,54,17,50,5,741,94,4,34,4,36,36
20,10,20,47,19,45,20,46,19,47,18,50,5,96,18,46,19,54,17,50,5,741,94,5,33,4,20,20
30,0,20,47,19,45,20,45,19,47,18,50,5,96,18,46,19,54,17,50,5,741,93,5,31,4,16,16
40,10,20,47,19,45,20,45,19,47,18,50,5,96,18,46,19,54,17,50,5,741,93,5,29,4,38,38
50,10,20,47,19,45,20,45,19,47,18,50,5,96,18,46,19,54,17,50,5,741,93,5,31,4,10,10
60,20,20,47,19,45,20,45,19,47,18,51,5,96,18,46,19,54,17,50,5,741,92,5,33,4,36,36
60,20,20,47,19,45,20,45,19,46,18,51,5,96,18,45,19,53,17,50,5,741,92,5,34,4,6,6
70,20,20,47,19,45,20,45,19,46,18,52,5,96,18,45,19,53,17,49,5,742,92,5,36,4,12,12
60,30,20,48,19,45,20,45,19,46,18,52,5,96,18,45,19,52,17,49,5,742,91,5,38,4,7,7
140,20,20,49,19,45,20,45,19,46,18,52,5,96,18,44,19,52,17,49,5,742,91,5,40,4,12,12
110,30,20,49,19,45,20,45,19,46,18,52,5,96,18,45,19,52,17,48,5,742,91,5,40,4,3,3
90,10,20,50,19,45,20,45,19,46,18,52,5,96,18,45,19,51,17,48,5,742,91,5,40,4,32,32
60,0,20,49,19,45,20,45,19,46,18,52,5,95,18,44,19,51,17,48,5,742,91,5,40,4,44,44
60,0,20,48,19,45,20,45,19,45,18,52,5,95,18,44,19,51,17,47,5,742,91,5,40,4,39,39
60,0,20,48,19,45,20,45,19,45,18,53,4,94,18,44,19,51,17,47,5,742,91,5,40,3,40,40
50,0,20,47,19,45,20,45,19,45,18,53,4,94,18,43,19,50,17,47,5,742,91,5,40,3,23,23
60,0,20,47,19,45,20,45,19,45,18,53,4,94,18,43,19,50,17,47,5,742,91,5,38,3,21,21
50,0,20,46,19,45,20,45,19,45,18,53,4,95,18,42,19,50,17,47,5,742,91,5,36,4,41,41
30,0,20,46,19,45,20,45,19,45,18,52,4,95,18,42,19,50,17,46,5,743,91,5,34,4,30,30
40,0,20,46,19,45,20,45,19,45,18,51,4,95,18,42,19,50,17,46,5,743,91,5,33,4,33,33
30,0,20,46,19,44,20,45,19,45,18,50,4,96,18,42,19,50,17,46,5,743,91,5,31,4,18,18
260,0,20,46,19,44,20,45,19,45,18,50,4,96,18,42,19,49,17,46,5,743,91,5,29,4,14,14
500,0,20,46,19,44,20,45,19,45,18,50,5,96,18,42,19,49,17,46,5,743,90,5,31,4,50,50
450,0,20,48,19,44,20,45,19,45,18,50,5,97,18,42,18,49,17,46,6,743,89,5,33,4,32,32
50,10,20,49,19,44,20,45,20,46,18,50,5,96,18,41,18,49,17,45,6,743,88,5,34,4,11,11
60,0,20,48,19,45,20,45,20,45,18,50,5,97,18,41,18,49,17,45,6,743,88,5,36,4,6,6
60,0,20,47,19,45,20,45,20,45,18,50,5,96,18,41,18,49,17,45,6,743,87,5,38,4,24,24
50,0,20,47,19,44,20,45,20,45,18,49,6,96,18,41,18,49,17,45,6,743,86,5,40,4,46,46
50,0,20,46,19,44,20,45,20,45,18,49,6,96,18,41,18,49,17,45,6,743,85,5,38,4,30,30
50,0,20,46,19,44,20,45,20,45,18,49,6,95,18,41,18,49,17,45,7,743,84,6,36,4,49,49
60,0,20,46,19,44,20,45,20,44,18,49,6,95,18,41,18,48,17,45,7,743,84,6,34,4,37,37
60,0,20,46,19,44,20,45,20,44,18,49,6,94,18,41,18,48,17,45,7,743,83,6,32,4,18,18
60,0,20,46,19,44,20,45,20,44,18,49,6,91,18,40,18,48,17,45,7,743,82,7,30,4,22,22
60,0,20,46,19,44,20,45,20,44,18,49,6,89,18,40,19,48,17,45,7,744,81,7,28,4,7,7
190,0,20,46,19,44,20,45,20,44,18,49,7,85,18,40,19,48,17,45,7,744,81,7,30,4,1,1
220,0,20,46,19,44,20,45,20,44,18,49,7,84,18,40,19,48,17,45,7,744,80,7,32,4,36,36
170,0,20,45,19,44,20,45,20,44,18,50,7,83,18,40,19,47,17,45,7,744,80,7,34,4,5,5
390,0,20,45,19,44,20,45,20,44,18,50,7,83,18,40,19,47,17,45,7,744,80,7,36,4,22,22
90,0,20,45,19,44,20,45,20,44,18,50,7,82,18,40,18,47,17,45,7,744,79,7,38,4,32,32
60,0,20,47,19,44,20,45,20,44,18,51,8,81,18,40,18,47,17,45,8,744,79,7,40,4,50,50
290,0,20,46,19,44,20,45,20,44,18,51,7,80,18,40,18,47,17,45,7,744,79,7,40,4,25,25
130,0,20,46,19,44,20,45,20,44,18,51,7,80,18,40,18,47,17,44,7,744,80,7,40,4,24,24
140,0,20,45,19,44,20,45,20,44,18,51,8,79,18,40,18,47,17,44,7,744,80,8,40,4,9,9
240,0,20,45,19,44,20,45,20,44,18,51,8,78,18,40,18,47,17,44,7,744,80,8,40,4,38,38
50,0,20,45,19,43,20,45,20,44,18,51,8,79,18,40,18,47,17,44,7,744,81,8,40,4,23,23
60,0,20,45,19,43,20,45,20,44,18,51,8,77,18,39,18,47,17,44,7,744,81,8,40,4,26,26
60,0,20,44,19,43,20,45,20,43,18,51,8,76,18,39,18,47,17,44,7,744,80,8,40,4,10,10
60,0,20,44,19,43,20,45,20,43,18,51,7,76,18,39,18,47,17,44,7,744,79,7,40,4,11,11
370,0,20,44,19,43,20,45,20,43,18,51,7,77,18,39,18,47,17,44,7,744,78,6,40,3,30,30
200,0,20,44,19,43,20,45,20,43,18,51,7,78,18,39,18,47,17,44,7,744,78,6,40,3,29,29
70,0,20,44,19,43,20,45,20,43,18,51,7,79,18,39,18,47,17,44,7,744,77,6,40,3,4,4
50,0,20,44,19,43,20,45,20,43,18,51,7,79,18,39,18,47,17,44,7,744,76,5,40,3,2,2
40,0,20,44,19,43,20,45,19,43,18,51,7,79,18,39,18,47,17,44,7,744,77,5,40,3,32,32
40,0,20,44,19,43,20,45,19,43,18,51,6,79,18,39,18,47,17,44,7,744,78,5,40,3,46,46
30,0,20,44,19,43,20,45,19,43,18,51,6,83,18,39,18,47,17,44,7,744,79,4,40,3,30,30
30,0,20,44,19,43,20,45,20,43,18,51,7,81,18,39,19,47,17,44,6,744,80,4,40,3,28,28
30,0,20,44,19,43,20,45,20,43,18,51,7,77,18,39,19,46,17,44,6,744,81,4,40,3,26,26
30,0,20,44,19,43,20,45,20,43,18,51,7,75,19,38,19,46,17,44,6,744,82,4,40,4,49,49
40,0,20,44,19,43,20,45,20,43,18,51,7,75,18,38,19,46,17,44,6,744,81,4,38,3,25,25
50,0,20,44,19,43,20,45,19,43,18,51,7,74,18,38,19,46,17,44,6,744,80,5,36,3,34,34
40,0,20,43,19,43,20,45,19,43,18,51,6,74,18,38,19,46,17,44,6,744,78,6,34,3,30,30
40,0,20,43,19,43,20,45,19,43,18,51,6,76,18,38,19,46,17,43,6,744,77,6,33,3,12,12
40,0,20,43,19,42,20,45,19,43,18,51,6,76,18,38,19,46,17,43,6,744,76,6,31,2,13,13
60,0,20,43,19,42,20,45,19,43,18,51,6,77,18,38,19,46,17,43,6,744,75,7,29,2,36,36
60,10,20,43,19,42,20,45,19,43,18,51,6,78,18,38,19,46,17,43,6,744,77,7,31,2,23,23
210,20,20,43,19,42,20,45,19,43,18,51,6,78,18,38,19,46,17,43,6,744,78,7,33,3,9,9
380,20,20,43,19,43,20,45,19,43,18,51,6,79,18,38,19,46,17,43,6,744,80,7,34,3,37,37
370,40,20,43,19,43,20,45,19,44,18,51,6,81,18,38,18,46,17,43,6,745,82,7,36,3,5,5
230,30,20,43,19,43,20,45,20,44,18,51,6,83,18,39,18,46,17,43,6,745,83,7,38,3,43,43
80,40,20,44,19,43,20,44,20,44,18,51,5,83,18,39,18,46,17,43,5,745,85,7,40,3,31,31
90,30,20,44,19,43,20,44,20,44,18,51,5,84,18,39,19,47,17,43,5,745,86,7,40,3,28,28
70,20,20,44,19,43,20,44,20,43,18,51,5,85,18,39,19,47,17,43,5,745,87,7,40,3,16,16
40,10,20,44,19,43,20,44,20,43,18,51,5,86,18,39,19,47,17,43,5,745,88,6,40,3,23,23
40,0,20,44,19,43,20,44,20,43,18,51,5,88,18,39,19,47,17,43,5,745,89,6,40,3,25,25
30,0,20,44,19,43,20,44,20,43,18,51,5,89,18,39,19,47,17,43,5,745,90,6,40,3,9,9
50,0,20,44,19,43,20,44,20,43,18,51,5,89,18,39,19,47,17,43,5,745,91,6,40,3,26,26
50,0,20,44,19,43,20,44,20,43,18,51,5,90,18,39,19,46,17,43,5,745,91,6,40,3,4,4
60,0,20,44,19,43,20,44,20,42,18,51,5,91,18,39,19,47,17,43,5,745,92,6,40,3,14,14
50,0,20,44,19,43,20,44,20,43,18,51,5,91,18,39,18,47,17,43,5,745,92,6,40,3,11,11
60,0,20,44,19,43,20,44,20,43,18,51,5,91,18,39,18,47,17,43,5,745,92,7,40,3,14,14
60,0,20,44,19,43,20,44,20,43,18,51,5,91,18,39,18,47,17,43,5,745,93,7,40,3,45,45
60,0,20,44,19,43,20,44,20,42,18,51,4,91,18,39,18,47,17,43,4,745,93,7,40,3,22,22
50,0,20,43,19,42,20,44,20,42,18,51,4,92,18,39,18,47,17,43,5,745,93,7,40,3,39,39
50,0,20,43,19,42,20,44,20,42,18,51,5,93,18,39,18,47,17,43,5,745,92,7,40,3,44,44
50,0,20,43,19,42,20,44,20,42,18,51,5,93,18,39,18,47,17,43,5,746,92,6,40,3,21,21
50,0,20,43,19,42,20,44,20,42,18,51,5,93,18,39,18,47,17,43,5,746,92,6,40,3,3,3
50,0,20,43,19,42,20,44,19,42,17,51,4,93,18,39,18,47,17,43,5,746,91,6,40,3,17,17
60,0,20,43,19,42,20,44,19,42,17,51,4,93,18,39,18,47,17,43,5,746,91,6,40,3,36,36
60,0,20,43,19,42,20,44,19,42,17,50,4,94,18,39,18,47,17,43,5,746,90,6,38,3,17,17
40,0,20,43,19,42,20,44,19,42,17,50,4,94,18,39,18,47,17,43,5,746,90,6,36,3,32,32
30,0,20,43,19,42,20,44,19,42,17,50,4,94,18,39,18,47,17,43,5,746,90,6,34,3,42,42
30,20,20,43,19,42,20,44,19,42,17,50,5,94,18,39,18,47,17,43,5,746,89,7,33,3,43,43
30,10,20,43,19,42,20,44,19,43,17,50,5,94,18,39,18,47,17,43,5,746,88,7,31,3,20,20
40,0,20,43,19,42,20,44,19,43,17,50,5,94,18,40,18,48,17,43,5,746,88,7,29,4,19,19
50,10,20,43,19,42,20,44,19,43,17,50,5,95,18,40,18,48,17,44,5,746,87,7,31,3,45,45
50,0,20,43,19,42,20,44,19,43,17,50,5,95,18,41,19,49,17,44,5,746,87,7,33,3,32,32
50,0,20,43,19,42,20,44,19,43,17,50,5,94,18,41,19,49,17,45,5,746,86,6,34,3,37,37
40,0,20,43,19,42,20,44,19,43,17,51,5,94,18,41,19,50,17,45,5,746,85,6,36,3,30,30
50,0,20,43,19,42,20,44,19,43,17,51,5,92,18,41,19,50,17,45,5,747,85,6,38,3,45,45
40,0,20,43,19,43,20,44,19,43,17,51,5,91,18,41,19,50,17,46,6,747,84,6,40,3,15,15
40,0,20,43,19,43,20,45,19,43,17,51,6,89,18,42,19,51,17,46,6,747,83,6,40,3,10,10
40,0,20,43,19,43,20,45,19,44,17,51,6,87,18,42,19,51,17,46,6,747,83,7,40,3,44,44
40,0,20,43,19,43,20,45,19,44,17,51,6,85,18,42,19,51,17,46,6,747,82,7,40,3,25,25
50,0,20,43,19,43,20,45,19,44,17,51,6,85,18,42,19,51,17,46,6,747,81,7,40,3,44,44
50,0,20,43,19,43,20,45,19,44,17,51,6,84,18,42,19,52,17,47,6,747,81,8,40,3,9,9
50,0,19,43,19,43,20,45,19,44,17,51,6,83,18,42,19,52,17,47,6,747,80,8,40,3,38,38
30,0,19,43,19,43,20,45,19,44,17,51,6,81,18,43,19,52,17,47,6,748,81,8,38,3,36,36
20,0,19,43,19,43,20,45,19,44,17,52,6,81,18,43,19,52,17,47,6,748,83,8,36,3,47,47
30,0,19,43,19,43,20,45,19,44,17,52,6,84,18,43,19,52,17,47,6,748,84,8,34,3,27,27
20,0,19,43,19,43,20,45,19,44,17,52,6,87,18,43,19,52,17,47,6,748,85,8,31,3,36,36
40,0,19,43,19,43,20,45,19,44,17,52,6,87,18,43,19,52,17,47,5,748,87,8,29,3,19,19
50,0,19,43,19,43,20,45,19,44,17,52,6,86,18,44,19,52,17,48,5,748,88,8,27,4,5,5
60,0,19,44,19,44,20,45,19,44,17,52,6,86,18,44,19,52,17,48,5,748,88,8,26,4,46,46
50,0,19,44,19,44,20,45,19,44,17,52,5,87,18,44,19,53,17,48,5,748,89,8,25,4,14,14
40,0,19,44,19,44,20,45,19,44,17,52,5,89,18,44,19,53,17,48,5,749,90,8,24,4,30,30
40,0,19,44,18,44,20,45,19,44,17,52,5,90,18,44,19,53,17,48,5,749,90,8,23,4,6,6
50,0,19,44,18,44,20,45,19,44,17,52,5,90,18,44,19,54,17,49,5,749,90,8,22,4,42,42
40,0,19,44,18,44,20,45,19,44,17,52,5,89,18,45,19,55,17,49,5,749,91,8,21,4,16,16
40,0,19,44,18,44,20,45,19,44,17,52,5,89,18,45,19,55,17,49,5,749,91,8,22,4,39,39
50,0,19,44,18,44,20,45,19,44,17,52,6,88,18,45,19,55,17,49,5,749,90,8,22,4,13,13
50,0,19,44,18,44,20,45,19,44,17,52,6,87,18,45,19,55,17,49,5,749,90,8,22,4,11,11
50,0,19,44,18,44,20,45,19,44,17,52,6,86,18,45,19,55,17,49,5,750,90,8,23,4,26,26
40,0,19,44,18,44,20,45,19,44,17,52,6,86,18,45,19,55,17,49,5,750,89,8,24,4,13,13
30,0,19,44,18,44,20,45,19,44,17,52,6,85,18,45,19,55,17,50,6,750,89,8,24,4,9,9
20,0,19,44,18,44,20,45,19,44,17,52,6,85,18,45,19,55,17,50,5,750,89,8,24,4,26,26
20,0,19,44,18,44,20,45,19,44,17,52,6,85,18,45,19,55,17,50,5,750,89,8,24,4,28,28
20,0,19,44,18,44,20,45,19,44,17,52,6,85,18,45,19,54,17,50,5,751,89,8,24,4,6,6
50,0,19,44,18,44,20,45,19,44,17,52,6,83,18,45,19,54,17,50,5,751,89,8,24,4,13,13
50,0,19,44,18,44,20,45,19,44,17,52,6,82,18,45,19,54,17,50,5,751,89,8,24,4,36,36
50,0,19,44,18,44,20,45,19,44,17,52,6,81,18,45,19,54,17,50,5,751,89,8,24,4,48,48
40,0,19,44,18,44,20,45,19,44,17,52,6,80,18,45,19,54,17,50,5,751,89,8,24,4,5,5
40,0,19,44,18,44,20,45,19,44,17,52,6,80,18,45,19,54,17,50,5,751,89,8,23,4,38,38
50,0,19,44,18,44,20,45,19,44,17,52,6,80,18,45,19,54,17,50,5,752,90,8,23,4,47,47
40,0,19,44,18,44,20,45,19,44,17,53,6,80,18,45,19,54,17,50,5,752,90,8,23,4,41,41
50,0,19,44,18,44,20,45,19,44,17,53,6,80,18,45,19,54,17,50,5,752,90,8,22,4,15,15
50,0,19,44,18,44,20,45,19,44,17,53,6,80,18,45,19,54,17,50,5,752,90,8,22,4,32,32
50,0,19,44,18,44,20,45,18,44,17,53,6,79,18,45,19,54,17,50,5,752,90,8,22,4,48,48
40,0,19,44,18,44,20,45,18,44,17,53,5,78,18,45,19,54,17,50,5,752,90,8,22,4,48,48
40,0,19,44,18,44,20,45,18,44,17,53,5,79,18,45,19,54,17,50,5,752,90,8,22,4,17,17
50,0,19,44,18,44,20,45,18,44,17,53,5,79,18,45,19,54,17,50,5,752,90,7,23,3,13,13
20,0,19,44,18,44,20,45,18,44,17,53,6,79,18,45,19,53,17,50,5,753,90,7,23,3,8,8
20,0,19,44,18,44,20,45,18,44,17,53,6,78,18,45,19,53,17,50,5,753,90,7,23,3,16,16
50,0,19,44,18,44,20,45,18,44,17,53,6,79,18,45,19,53,17,50,5,753,90,7,26,3,26,26
30,10,19,45,18,44,20,45,18,44,17,53,6,79,18,46,19,53,17,50,5,753,90,7,29,3,46,46
50,10,19,45,18,44,20,45,18,44,17,53,6,79,18,46,19,53,17,50,5,753,90,6,32,3,26,26
50,10,19,45,18,44,20,45,18,44,19,85,6,79,18,45,19,53,17,50,5,754,89,6,34,3,13,13
200,0,19,45,18,45,20,45,18,44,19,85,6,79,18,46,19,53,17,50,5,754,89,6,37,3,2,2
110,10,19,45,18,45,20,44,18,44,19,84,6,79,18,46,19,53,17,50,5,754,89,6,40,3,21,21
80,10,19,45,18,44,20,44,18,44,20,74,6,79,18,46,19,53,17,50,5,754,89,6,37,3,43,43
50,0,19,44,18,44,20,44,18,44,19,67,6,79,18,45,19,52,17,50,5,754,89,6,33,3,17,17
50,0,19,45,18,44,20,44,18,44,19,63,6,80,18,44,19,52,17,50,5,754,90,6,30,3,7,7
50,0,19,45,18,44,20,44,18,44,19,60,6,80,18,43,18,51,17,49,5,754,90,5,27,3,19,19
40,0,19,44,18,44,20,44,18,44,18,59,6,80,18,43,18,51,17,49,5,754,90,5,23,3,32,32
40,0,19,44,18,44,20,44,18,44,18,58,6,80,18,43,18,51,17,48,5,754,90,5,20,3,20,20
30,0,19,44,18,44,20,44,18,44,18,57,6,79,18,42,18,51,17,48,5,754,90,5,22,3,34,34
180,20,19,44,18,43,20,44,18,44,18,56,6,79,18,42,18,50,17,48,5,755,89,5,23,3,34,34
350,30,19,44,18,43,19,44,18,44,18,56,6,79,18,41,18,50,17,47,5,755,89,4,24,3,28,28
350,20,19,44,18,43,19,44,18,44,18,56,5,79,18,41,18,50,17,47,5,755,89,4,26,3,21,21
300,30,19,44,18,43,19,44,19,44,18,57,5,79,18,41,18,50,17,47,5,755,88,4,28,3,23,23
400,20,19,44,18,43,19,44,19,44,18,57,6,79,18,41,18,49,17,46,5,755,88,4,29,3,15,15
390,30,19,44,18,44,19,44,19,44,18,56,6,79,18,41,18,49,17,46,5,755,88,4,31,3,29,29
290,30,19,44,18,44,20,44,20,44,18,56,6,79,18,42,18,49,17,46,5,755,88,4,33,3,46,46
60,30,19,44,18,44,20,44,20,44,18,56,6,79,18,42,18,49,17,46,5,756,88,4,34,3,7,7
70,20,19,44,18,44,19,44,20,43,18,55,6,79,18,42,18,49,17,45,5,756,88,5,36,3,21,21
